,0,1,2,3,4,5,6,7,8,9,10,11
0,99.0,29.0,9.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,29.0,19.0,6.0,10.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
2,54.0,24.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,53.0,23.0,11.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,87.0,25.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,54.0,27.0,9.0,8.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
6,70.0,27.0,10.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
