,Year,Month,Day,Val1,Val2,Phase,Val3,Something
14559,2014,4,11,1.4498852,0.68330693,5,1.6028336,Prelim_value:_OLR_&_ACCESS_wind
14560,2014,4,12,1.1249379,0.754664,5,1.3546228,Prelim_value:_OLR_&_ACCESS_wind
14561,2014,4,13,1.0808594999999999,0.74411112,5,1.3122341999999998,Prelim_value:_OLR_&_ACCESS_wind
14562,2014,4,14,0.92646998,0.87645239,5,1.2753491000000001,Prelim_value:_OLR_&_ACCESS_wind
14563,2014,4,15,0.71922678,1.1226356000000002,6,1.3332658000000002,Prelim_value:_OLR_&_ACCESS_wind
14564,2014,4,16,0.60718381,1.1603118000000001,6,1.3095784,Prelim_value:_OLR_&_ACCESS_wind
14565,2014,4,17,0.51119703,1.178579,6,1.2846674999999999,Prelim_value:_OLR_&_ACCESS_wind
14566,2014,4,18,0.47881514,0.88904053,6,1.0097806,Prelim_value:_OLR_&_ACCESS_wind
14567,2014,4,19,0.65841478,0.82289863,6,1.0538843999999998,Prelim_value:_OLR_&_ACCESS_wind
14568,2014,4,20,0.66245788,0.63901544,5,0.92042989,Prelim_value:_OLR_&_ACCESS_wind
14569,2014,4,21,0.45825827,0.59291875,6,0.74936861,Prelim_value:_OLR_&_ACCESS_wind
14570,2014,4,22,0.27089486,0.7099064,6,0.75983626,Prelim_value:_OLR_&_ACCESS_wind
14571,2014,4,23,0.21131454,0.80173254,6,0.8291132999999999,Prelim_value:_OLR_&_ACCESS_wind
14572,2014,4,24,0.29445279,0.63731509,6,0.70204914,Prelim_value:_OLR_&_ACCESS_wind
14573,2014,4,25,0.11954328,0.51634014,6,0.52999789,Prelim_value:_OLR_&_ACCESS_wind
14574,2014,4,26,-0.0256,0.42820507,7,0.42896944,Prelim_value:_OLR_&_ACCESS_wind
14575,2014,4,27,-0.19157287,0.38482472,7,0.42987233,Prelim_value:_OLR_&_ACCESS_wind
14576,2014,4,28,-0.42817995,0.6570223000000001,7,0.78422976,Prelim_value:_OLR_&_ACCESS_wind
14577,2014,4,29,-0.84169519,0.74786484,8,1.1259451999999999,Prelim_value:_OLR_&_ACCESS_wind
14578,2014,4,30,-1.1819226999999999,0.64467549,8,1.3463089,Prelim_value:_OLR_&_ACCESS_wind
14579,2014,5,1,-1.6071316999999998,0.66810298,8,1.7404695,Prelim_value:_OLR_&_ACCESS_wind
14580,2014,5,2,-1.7730173999999999,0.61817086,8,1.8776916000000001,Prelim_value:_OLR_&_ACCESS_wind
14581,2014,5,3,-1.9474756000000002,0.42946359999999995,8,1.9942667,Prelim_value:_OLR_&_ACCESS_wind
14582,2014,5,4,-2.0122373,-0.20709568,1,2.0228662,Prelim_value:_OLR_&_ACCESS_wind
14583,2014,5,5,-2.3253767000000005,-0.87892073,1,2.4859362000000003,Prelim_value:_OLR_&_ACCESS_wind
14584,2014,5,6,-2.3881986,-1.2429856000000001,1,2.6923048,Prelim_value:_OLR_&_ACCESS_wind
14585,2014,5,7,-2.2501321,-1.3393003,1,2.6185532000000005,Prelim_value:_OLR_&_ACCESS_wind
14586,2014,5,8,-1.9276601999999998,-1.4182472,1,2.3931777000000003,Prelim_value:_OLR_&_ACCESS_wind
14587,2014,5,9,-1.2328687,-1.2798014,2,1.777036,Prelim_value:_OLR_&_ACCESS_wind
