,Year,Month,Day,Phase
289,1982,9,17,1
290,1982,9,18,1
291,1982,9,19,1
292,1982,9,20,1
293,1982,9,21,1
294,1982,9,22,1
295,1982,9,23,2
296,1982,9,24,2
297,1982,9,25,2
298,1982,9,26,1
299,1982,9,27,2
300,1982,9,28,1
301,1982,9,29,1
302,1982,9,30,1
303,1982,10,1,1
304,1982,10,2,1
305,1982,10,3,1
306,1982,10,4,8
307,1982,10,5,8
308,1982,10,6,7
309,1982,10,7,7
310,1982,10,8,7
311,1982,10,9,7
312,1982,10,10,8
313,1982,10,11,8
314,1982,10,12,8
315,1982,10,13,8
316,1982,10,14,8
317,1982,10,15,2
318,1982,10,16,3
319,1982,10,17,3
320,1982,10,18,3
321,1982,10,19,2
322,1982,10,20,2
323,1982,10,21,2
324,1982,10,22,1
325,1982,10,23,1
326,1982,10,24,1
327,1982,10,25,2
328,1982,10,26,2
329,1982,10,27,2
330,1982,10,28,2
331,1982,10,29,2
332,1982,10,30,2
333,1982,10,31,2
334,1982,11,1,2
335,1982,11,2,2
336,1982,11,3,2
337,1982,11,4,3
338,1982,11,5,3
339,1982,11,6,4
340,1982,11,7,4
341,1982,11,8,5
342,1982,11,9,5
343,1982,11,10,5
344,1982,11,11,6
345,1982,11,12,7
346,1982,11,13,7
347,1982,11,14,7
348,1982,11,15,7
349,1982,11,16,7
350,1982,11,17,8
351,1982,11,18,8
352,1982,11,19,8
353,1982,11,20,8
354,1982,11,21,8
355,1982,11,22,1
356,1982,11,23,1
357,1982,11,24,1
358,1982,11,25,2
359,1982,11,26,2
360,1982,11,27,3
361,1982,11,28,3
362,1982,11,29,3
363,1982,11,30,3
364,1983,9,1,2
365,1983,9,2,2
366,1983,9,3,1
367,1983,9,4,1
368,1983,9,5,1
369,1983,9,6,2
370,1983,9,7,2
371,1983,9,8,2
372,1983,9,9,2
373,1983,9,10,2
374,1983,9,11,2
375,1983,9,12,2
376,1983,9,13,2
377,1983,9,14,2
378,1983,9,15,3
379,1983,9,16,3
380,1983,9,17,3
381,1983,9,18,4
382,1983,9,19,4
383,1983,9,20,4
384,1983,9,21,4
385,1983,9,22,4
386,1983,9,23,4
387,1983,9,24,4
388,1983,9,25,5
389,1983,9,26,5
390,1983,9,27,5
391,1983,9,28,5
392,1983,9,29,5
393,1983,9,30,5
394,1983,10,1,5
395,1983,10,2,5
396,1983,10,3,5
397,1983,10,4,5
398,1983,10,5,5
399,1983,10,6,5
400,1983,10,7,5
401,1983,10,8,5
402,1983,10,9,5
403,1983,10,10,6
404,1983,10,11,6
405,1983,10,12,6
406,1983,10,13,8
407,1983,10,14,8
408,1983,10,15,1
409,1983,10,16,1
410,1983,10,17,2
411,1983,10,18,2
412,1983,10,19,2
413,1983,10,20,2
414,1983,10,21,2
415,1983,10,22,3
416,1983,10,23,4
417,1983,10,24,5
418,1983,10,25,5
419,1983,10,26,5
420,1983,10,27,6
421,1983,10,28,6
422,1983,10,29,6
423,1983,10,30,5
424,1983,10,31,5
425,1983,11,1,5
426,1983,11,2,6
427,1983,11,3,6
428,1983,11,4,6
429,1983,11,5,7
430,1983,11,6,7
431,1983,11,7,7
432,1983,11,8,8
433,1983,11,9,8
434,1983,11,10,8
435,1983,11,11,8
436,1983,11,12,6
437,1983,11,13,5
438,1983,11,14,5
439,1983,11,15,5
440,1983,11,16,5
441,1983,11,17,6
442,1983,11,18,6
443,1983,11,19,6
444,1983,11,20,6
445,1983,11,21,6
446,1983,11,22,6
447,1983,11,23,7
448,1983,11,24,7
449,1983,11,25,7
450,1983,11,26,7
451,1983,11,27,7
452,1983,11,28,7
453,1983,11,29,7
454,1983,11,30,7
455,1984,9,1,2
456,1984,9,2,2
457,1984,9,3,2
458,1984,9,4,1
459,1984,9,5,1
460,1984,9,6,1
461,1984,9,7,1
462,1984,9,8,8
463,1984,9,9,8
464,1984,9,10,8
465,1984,9,11,8
466,1984,9,12,8
467,1984,9,13,8
468,1984,9,14,7
469,1984,9,15,7
470,1984,9,16,7
471,1984,9,17,8
472,1984,9,18,8
473,1984,9,19,8
474,1984,9,20,8
475,1984,9,21,8
476,1984,9,22,8
477,1984,9,23,1
478,1984,9,24,2
479,1984,9,25,3
480,1984,9,26,4
481,1984,9,27,4
482,1984,9,28,5
483,1984,9,29,5
484,1984,9,30,5
485,1984,10,1,5
486,1984,10,2,5
487,1984,10,3,5
488,1984,10,4,5
489,1984,10,5,5
490,1984,10,6,5
491,1984,10,7,4
492,1984,10,8,4
493,1984,10,9,4
494,1984,10,10,5
495,1984,10,11,5
496,1984,10,12,5
497,1984,10,13,6
498,1984,10,14,7
499,1984,10,15,7
500,1984,10,16,7
501,1984,10,17,7
502,1984,10,18,7
503,1984,10,19,7
504,1984,10,20,7
505,1984,10,21,7
506,1984,10,22,7
507,1984,10,23,7
508,1984,10,24,8
509,1984,10,25,7
510,1984,10,26,7
511,1984,10,27,8
512,1984,10,28,8
513,1984,10,29,8
514,1984,10,30,8
515,1984,10,31,8
516,1984,11,1,1
517,1984,11,2,1
518,1984,11,3,1
519,1984,11,4,1
520,1984,11,5,1
521,1984,11,6,1
522,1984,11,7,1
523,1984,11,8,1
524,1984,11,9,1
525,1984,11,10,1
526,1984,11,11,1
527,1984,11,12,2
528,1984,11,13,2
529,1984,11,14,2
530,1984,11,15,2
531,1984,11,16,2
532,1984,11,17,3
533,1984,11,18,3
534,1984,11,19,3
535,1984,11,20,3
536,1984,11,21,3
537,1984,11,22,3
538,1984,11,23,3
539,1984,11,24,2
540,1984,11,25,2
541,1984,11,26,2
542,1984,11,27,2
543,1984,11,28,2
544,1984,11,29,3
545,1984,11,30,3
546,1985,9,1,4
547,1985,9,2,5
548,1985,9,3,8
549,1985,9,4,1
550,1985,9,5,2
551,1985,9,6,1
552,1985,9,7,1
553,1985,9,8,1
554,1985,9,9,2
555,1985,9,10,2
556,1985,9,11,2
557,1985,9,12,3
558,1985,9,13,3
559,1985,9,14,1
560,1985,9,15,8
561,1985,9,16,7
562,1985,9,17,8
563,1985,9,18,1
564,1985,9,19,1
565,1985,9,20,1
566,1985,9,21,8
567,1985,9,22,8
568,1985,9,23,8
569,1985,9,24,8
570,1985,9,25,8
571,1985,9,26,8
572,1985,9,27,8
573,1985,9,28,1
574,1985,9,29,1
575,1985,9,30,1
576,1985,10,1,1
577,1985,10,2,1
578,1985,10,3,2
579,1985,10,4,2
580,1985,10,5,2
581,1985,10,6,2
582,1985,10,7,2
583,1985,10,8,2
584,1985,10,9,3
585,1985,10,10,3
586,1985,10,11,5
587,1985,10,12,6
588,1985,10,13,6
589,1985,10,14,6
590,1985,10,15,6
591,1985,10,16,6
592,1985,10,17,6
593,1985,10,18,6
594,1985,10,19,7
595,1985,10,20,7
596,1985,10,21,7
597,1985,10,22,7
598,1985,10,23,8
599,1985,10,24,8
600,1985,10,25,8
601,1985,10,26,8
602,1985,10,27,8
603,1985,10,28,8
604,1985,10,29,8
605,1985,10,30,1
606,1985,10,31,1
607,1985,11,1,1
608,1985,11,2,1
609,1985,11,3,2
610,1985,11,4,2
611,1985,11,5,2
612,1985,11,6,3
613,1985,11,7,3
614,1985,11,8,3
615,1985,11,9,3
616,1985,11,10,4
617,1985,11,11,4
618,1985,11,12,4
619,1985,11,13,4
620,1985,11,14,5
621,1985,11,15,5
622,1985,11,16,5
623,1985,11,17,6
624,1985,11,18,6
625,1985,11,19,6
626,1985,11,20,6
627,1985,11,21,6
628,1985,11,22,6
629,1985,11,23,7
630,1985,11,24,7
631,1985,11,25,7
632,1985,11,26,7
633,1985,11,27,7
634,1985,11,28,7
635,1985,11,29,7
636,1985,11,30,8
637,1986,9,1,2
638,1986,9,2,3
639,1986,9,3,3
640,1986,9,4,3
641,1986,9,5,3
642,1986,9,6,3
643,1986,9,7,3
644,1986,9,8,3
645,1986,9,9,4
646,1986,9,10,4
647,1986,9,11,4
648,1986,9,12,5
649,1986,9,13,5
650,1986,9,14,5
651,1986,9,15,5
652,1986,9,16,6
653,1986,9,17,6
654,1986,9,18,6
655,1986,9,19,6
656,1986,9,20,6
657,1986,9,21,7
658,1986,9,22,7
659,1986,9,23,8
660,1986,9,24,8
661,1986,9,25,1
662,1986,9,26,1
663,1986,9,27,1
664,1986,9,28,1
665,1986,9,29,2
666,1986,9,30,2
667,1986,10,1,2
668,1986,10,2,1
669,1986,10,3,1
670,1986,10,4,2
671,1986,10,5,2
672,1986,10,6,1
673,1986,10,7,1
674,1986,10,8,8
675,1986,10,9,1
676,1986,10,10,2
677,1986,10,11,2
678,1986,10,12,2
679,1986,10,13,2
680,1986,10,14,1
681,1986,10,15,2
682,1986,10,16,3
683,1986,10,17,4
684,1986,10,18,3
685,1986,10,19,3
686,1986,10,20,3
687,1986,10,21,2
688,1986,10,22,2
689,1986,10,23,2
690,1986,10,24,2
691,1986,10,25,2
692,1986,10,26,2
693,1986,10,27,3
694,1986,10,28,3
695,1986,10,29,3
696,1986,10,30,3
697,1986,10,31,3
698,1986,11,1,3
699,1986,11,2,3
700,1986,11,3,3
701,1986,11,4,4
702,1986,11,5,4
703,1986,11,6,4
704,1986,11,7,4
705,1986,11,8,4
706,1986,11,9,4
707,1986,11,10,4
708,1986,11,11,5
709,1986,11,12,5
710,1986,11,13,5
711,1986,11,14,6
712,1986,11,15,6
713,1986,11,16,7
714,1986,11,17,7
715,1986,11,18,7
716,1986,11,19,7
717,1986,11,20,7
718,1986,11,21,8
719,1986,11,22,8
720,1986,11,23,8
721,1986,11,24,8
722,1986,11,25,1
723,1986,11,26,1
724,1986,11,27,1
725,1986,11,28,1
726,1986,11,29,1
727,1986,11,30,1
728,1987,9,1,5
729,1987,9,2,5
730,1987,9,3,5
731,1987,9,4,5
732,1987,9,5,5
733,1987,9,6,6
734,1987,9,7,6
735,1987,9,8,5
736,1987,9,9,5
737,1987,9,10,4
738,1987,9,11,4
739,1987,9,12,4
740,1987,9,13,4
741,1987,9,14,4
742,1987,9,15,4
743,1987,9,16,3
744,1987,9,17,2
745,1987,9,18,2
746,1987,9,19,2
747,1987,9,20,2
748,1987,9,21,2
749,1987,9,22,2
750,1987,9,23,3
751,1987,9,24,3
752,1987,9,25,2
753,1987,9,26,3
754,1987,9,27,3
755,1987,9,28,3
756,1987,9,29,4
757,1987,9,30,4
758,1987,10,1,4
759,1987,10,2,4
760,1987,10,3,4
761,1987,10,4,4
762,1987,10,5,3
763,1987,10,6,4
764,1987,10,7,4
765,1987,10,8,4
766,1987,10,9,4
767,1987,10,10,3
768,1987,10,11,3
769,1987,10,12,3
770,1987,10,13,4
771,1987,10,14,4
772,1987,10,15,5
773,1987,10,16,5
774,1987,10,17,5
775,1987,10,18,5
776,1987,10,19,5
777,1987,10,20,5
778,1987,10,21,5
779,1987,10,22,5
780,1987,10,23,4
781,1987,10,24,3
782,1987,10,25,3
783,1987,10,26,3
784,1987,10,27,2
785,1987,10,28,2
786,1987,10,29,2
787,1987,10,30,2
788,1987,10,31,2
789,1987,11,1,2
790,1987,11,2,3
791,1987,11,3,3
792,1987,11,4,3
793,1987,11,5,4
794,1987,11,6,4
795,1987,11,7,4
796,1987,11,8,4
797,1987,11,9,4
798,1987,11,10,4
799,1987,11,11,4
800,1987,11,12,4
801,1987,11,13,5
802,1987,11,14,5
803,1987,11,15,5
804,1987,11,16,6
805,1987,11,17,6
806,1987,11,18,6
807,1987,11,19,6
808,1987,11,20,6
809,1987,11,21,6
810,1987,11,22,6
811,1987,11,23,6
812,1987,11,24,6
813,1987,11,25,6
814,1987,11,26,6
815,1987,11,27,6
816,1987,11,28,7
817,1987,11,29,7
818,1987,11,30,6
819,1988,9,1,1
820,1988,9,2,1
821,1988,9,3,1
822,1988,9,4,1
823,1988,9,5,8
824,1988,9,6,8
825,1988,9,7,8
826,1988,9,8,1
827,1988,9,9,1
828,1988,9,10,2
829,1988,9,11,1
830,1988,9,12,5
831,1988,9,13,5
832,1988,9,14,5
833,1988,9,15,4
834,1988,9,16,4
835,1988,9,17,3
836,1988,9,18,3
837,1988,9,19,4
838,1988,9,20,4
839,1988,9,21,4
840,1988,9,22,4
841,1988,9,23,4
842,1988,9,24,4
843,1988,9,25,4
844,1988,9,26,4
845,1988,9,27,5
846,1988,9,28,5
847,1988,9,29,5
848,1988,9,30,5
849,1988,10,1,5
850,1988,10,2,5
851,1988,10,3,5
852,1988,10,4,5
853,1988,10,5,5
854,1988,10,6,6
855,1988,10,7,6
856,1988,10,8,6
857,1988,10,9,6
858,1988,10,10,6
859,1988,10,11,6
860,1988,10,12,6
861,1988,10,13,6
862,1988,10,14,6
863,1988,10,15,6
864,1988,10,16,6
865,1988,10,17,6
866,1988,10,18,6
867,1988,10,19,6
868,1988,10,20,6
869,1988,10,21,7
870,1988,10,22,7
871,1988,10,23,7
872,1988,10,24,7
873,1988,10,25,7
874,1988,10,26,7
875,1988,10,27,7
876,1988,10,28,7
877,1988,10,29,7
878,1988,10,30,7
879,1988,10,31,7
880,1988,11,1,7
881,1988,11,2,7
882,1988,11,3,6
883,1988,11,4,6
884,1988,11,5,6
885,1988,11,6,6
886,1988,11,7,5
887,1988,11,8,5
888,1988,11,9,5
889,1988,11,10,5
890,1988,11,11,6
891,1988,11,12,7
892,1988,11,13,7
893,1988,11,14,7
894,1988,11,15,8
895,1988,11,16,1
896,1988,11,17,2
897,1988,11,18,2
898,1988,11,19,3
899,1988,11,20,4
900,1988,11,21,4
901,1988,11,22,4
902,1988,11,23,4
903,1988,11,24,5
904,1988,11,25,5
905,1988,11,26,6
906,1988,11,27,6
907,1988,11,28,6
908,1988,11,29,7
909,1988,11,30,7
910,1989,9,1,1
911,1989,9,2,1
912,1989,9,3,1
913,1989,9,4,1
914,1989,9,5,8
915,1989,9,6,8
916,1989,9,7,8
917,1989,9,8,8
918,1989,9,9,8
919,1989,9,10,7
920,1989,9,11,7
921,1989,9,12,2
922,1989,9,13,2
923,1989,9,14,2
924,1989,9,15,2
925,1989,9,16,2
926,1989,9,17,2
927,1989,9,18,2
928,1989,9,19,2
929,1989,9,20,2
930,1989,9,21,2
931,1989,9,22,2
932,1989,9,23,2
933,1989,9,24,2
934,1989,9,25,2
935,1989,9,26,2
936,1989,9,27,2
937,1989,9,28,2
938,1989,9,29,2
939,1989,9,30,2
940,1989,10,1,2
941,1989,10,2,3
942,1989,10,3,4
943,1989,10,4,4
944,1989,10,5,4
945,1989,10,6,4
946,1989,10,7,4
947,1989,10,8,4
948,1989,10,9,4
949,1989,10,10,4
950,1989,10,11,4
951,1989,10,12,4
952,1989,10,13,4
953,1989,10,14,4
954,1989,10,15,4
955,1989,10,16,4
956,1989,10,17,4
957,1989,10,18,5
958,1989,10,19,5
959,1989,10,20,5
960,1989,10,21,5
961,1989,10,22,5
962,1989,10,23,5
963,1989,10,24,5
964,1989,10,25,5
965,1989,10,26,6
966,1989,10,27,6
967,1989,10,28,6
968,1989,10,29,7
969,1989,10,30,7
970,1989,10,31,8
971,1989,11,1,8
972,1989,11,2,8
973,1989,11,3,8
974,1989,11,4,7
975,1989,11,5,8
976,1989,11,6,8
977,1989,11,7,8
978,1989,11,8,8
979,1989,11,9,8
980,1989,11,10,8
981,1989,11,11,1
982,1989,11,12,1
983,1989,11,13,5
984,1989,11,14,4
985,1989,11,15,5
986,1989,11,16,6
987,1989,11,17,6
988,1989,11,18,5
989,1989,11,19,6
990,1989,11,20,5
991,1989,11,21,6
992,1989,11,22,6
993,1989,11,23,6
994,1989,11,24,6
995,1989,11,25,7
996,1989,11,26,7
997,1989,11,27,7
998,1989,11,28,7
999,1989,11,29,7
1000,1989,11,30,8
1001,1990,9,1,3
1002,1990,9,2,3
1003,1990,9,3,3
1004,1990,9,4,3
1005,1990,9,5,2
1006,1990,9,6,2
1007,1990,9,7,8
1008,1990,9,8,1
1009,1990,9,9,1
1010,1990,9,10,1
1011,1990,9,11,1
1012,1990,9,12,1
1013,1990,9,13,2
1014,1990,9,14,2
1015,1990,9,15,2
1016,1990,9,16,2
1017,1990,9,17,2
1018,1990,9,18,3
1019,1990,9,19,3
1020,1990,9,20,2
1021,1990,9,21,2
1022,1990,9,22,3
1023,1990,9,23,2
1024,1990,9,24,2
1025,1990,9,25,3
1026,1990,9,26,3
1027,1990,9,27,3
1028,1990,9,28,3
1029,1990,9,29,3
1030,1990,9,30,3
1031,1990,10,1,4
1032,1990,10,2,5
1033,1990,10,3,5
1034,1990,10,4,6
1035,1990,10,5,6
1036,1990,10,6,6
1037,1990,10,7,7
1038,1990,10,8,1
1039,1990,10,9,1
1040,1990,10,10,1
1041,1990,10,11,1
1042,1990,10,12,1
1043,1990,10,13,1
1044,1990,10,14,1
1045,1990,10,15,1
1046,1990,10,16,1
1047,1990,10,17,1
1048,1990,10,18,2
1049,1990,10,19,2
1050,1990,10,20,2
1051,1990,10,21,2
1052,1990,10,22,1
1053,1990,10,23,1
1054,1990,10,24,1
1055,1990,10,25,2
1056,1990,10,26,2
1057,1990,10,27,2
1058,1990,10,28,2
1059,1990,10,29,2
1060,1990,10,30,2
1061,1990,10,31,3
1062,1990,11,1,3
1063,1990,11,2,3
1064,1990,11,3,3
1065,1990,11,4,3
1066,1990,11,5,4
1067,1990,11,6,4
1068,1990,11,7,4
1069,1990,11,8,4
1070,1990,11,9,5
1071,1990,11,10,5
1072,1990,11,11,5
1073,1990,11,12,6
1074,1990,11,13,6
1075,1990,11,14,7
1076,1990,11,15,7
1077,1990,11,16,7
1078,1990,11,17,7
1079,1990,11,18,7
1080,1990,11,19,7
1081,1990,11,20,8
1082,1990,11,21,8
1083,1990,11,22,8
1084,1990,11,23,8
1085,1990,11,24,8
1086,1990,11,25,8
1087,1990,11,26,7
1088,1990,11,27,7
1089,1990,11,28,7
1090,1990,11,29,7
1091,1990,11,30,7
1092,1991,9,1,6
1093,1991,9,2,6
1094,1991,9,3,5
1095,1991,9,4,5
1096,1991,9,5,5
1097,1991,9,6,5
1098,1991,9,7,6
1099,1991,9,8,6
1100,1991,9,9,6
1101,1991,9,10,6
1102,1991,9,11,7
1103,1991,9,12,7
1104,1991,9,13,7
1105,1991,9,14,7
1106,1991,9,15,7
1107,1991,9,16,7
1108,1991,9,17,8
1109,1991,9,18,8
1110,1991,9,19,8
1111,1991,9,20,8
1112,1991,9,21,8
1113,1991,9,22,8
1114,1991,9,23,8
1115,1991,9,24,1
1116,1991,9,25,8
1117,1991,9,26,1
1118,1991,9,27,8
1119,1991,9,28,8
1120,1991,9,29,8
1121,1991,9,30,8
1122,1991,10,1,8
1123,1991,10,2,8
1124,1991,10,3,1
1125,1991,10,4,1
1126,1991,10,5,1
1127,1991,10,6,1
1128,1991,10,7,1
1129,1991,10,8,2
1130,1991,10,9,2
1131,1991,10,10,2
1132,1991,10,11,2
1133,1991,10,12,3
1134,1991,10,13,3
1135,1991,10,14,3
1136,1991,10,15,3
1137,1991,10,16,3
1138,1991,10,17,3
1139,1991,10,18,3
1140,1991,10,19,3
1141,1991,10,20,3
1142,1991,10,21,4
1143,1991,10,22,4
1144,1991,10,23,4
1145,1991,10,24,4
1146,1991,10,25,4
1147,1991,10,26,5
1148,1991,10,27,5
1149,1991,10,28,5
1150,1991,10,29,5
1151,1991,10,30,6
1152,1991,10,31,7
1153,1991,11,1,7
1154,1991,11,2,7
1155,1991,11,3,6
1156,1991,11,4,6
1157,1991,11,5,7
1158,1991,11,6,7
1159,1991,11,7,7
1160,1991,11,8,7
1161,1991,11,9,7
1162,1991,11,10,7
1163,1991,11,11,7
1164,1991,11,12,7
1165,1991,11,13,8
1166,1991,11,14,8
1167,1991,11,15,8
1168,1991,11,16,8
1169,1991,11,17,8
1170,1991,11,18,8
1171,1991,11,19,1
1172,1991,11,20,1
1173,1991,11,21,1
1174,1991,11,22,1
1175,1991,11,23,8
1176,1991,11,24,7
1177,1991,11,25,7
1178,1991,11,26,7
1179,1991,11,27,7
1180,1991,11,28,7
1181,1991,11,29,7
1182,1991,11,30,7
1183,1992,9,1,5
1184,1992,9,2,5
1185,1992,9,3,6
1186,1992,9,4,6
1187,1992,9,5,6
1188,1992,9,6,6
1189,1992,9,7,6
1190,1992,9,8,7
1191,1992,9,9,7
1192,1992,9,10,7
1193,1992,9,11,7
1194,1992,9,12,7
1195,1992,9,13,7
1196,1992,9,14,8
1197,1992,9,15,8
1198,1992,9,16,7
1199,1992,9,17,8
1200,1992,9,18,8
1201,1992,9,19,8
1202,1992,9,20,8
1203,1992,9,21,1
1204,1992,9,22,1
1205,1992,9,23,2
1206,1992,9,24,2
1207,1992,9,25,2
1208,1992,9,26,2
1209,1992,9,27,2
1210,1992,9,28,2
1211,1992,9,29,2
1212,1992,9,30,3
1213,1992,10,1,3
1214,1992,10,2,3
1215,1992,10,3,3
1216,1992,10,4,3
1217,1992,10,5,3
1218,1992,10,6,3
1219,1992,10,7,3
1220,1992,10,8,3
1221,1992,10,9,4
1222,1992,10,10,4
1223,1992,10,11,4
1224,1992,10,12,4
1225,1992,10,13,4
1226,1992,10,14,4
1227,1992,10,15,4
1228,1992,10,16,4
1229,1992,10,17,5
1230,1992,10,18,5
1231,1992,10,19,5
1232,1992,10,20,5
1233,1992,10,21,5
1234,1992,10,22,5
1235,1992,10,23,5
1236,1992,10,24,6
1237,1992,10,25,6
1238,1992,10,26,6
1239,1992,10,27,6
1240,1992,10,28,7
1241,1992,10,29,7
1242,1992,10,30,7
1243,1992,10,31,7
1244,1992,11,1,7
1245,1992,11,2,7
1246,1992,11,3,7
