,0,1,2,3,4,5,6
0,73.0,41.0,38.0,46.0,45.0,75.0,56.0
1,515.0,304.0,289.0,334.0,330.0,523.0,406.0
2,53.0,28.0,26.0,32.0,32.0,55.0,41.0
