170814,45.6603,-69.812
171628,44.9197,-69.2417
172765,44.6894,-70.1564
173046,44.2203,-69.7889
190120,42.3861,-72.5375
190736,42.2122,-71.1136
196783,42.5239,-71.125
198757,42.1608,-71.2461
272999,45.09,-71.2906
300183,42.3108,-78.0231
301752,42.7167,-74.9267
302610,42.0997,-76.8358
303184,42.8767,-77.0308
304102,43.7547,-74.2756
304912,43.7928,-75.4828
305426,41.7681,-74.155
306085,42.5117,-75.5197
306314,43.4622,-76.4933
309000,43.9761,-75.8753
374266,41.4903,-71.5431
437054,44.42,-72.0194
437607,44.6264,-73.3031
4725,42.1997,-75.985
14733,42.9486,-78.7369
14735,42.7431,-73.8092
14742,44.4683,-73.15
14764,43.6497,-70.3003
14765,41.7219,-71.4325
14768,43.1167,-77.6767
14771,43.1111,-76.1039
94728,40.7789,-73.9692
